Gross Domestic Product;;;;;;;8.30.17;
Percent change from preceding period;;;;;;;;
;;;;;;;;
Annual;;;;Quarterly;;;;
;;;;          (Seasonally adjusted annual rates);;;;
;;;;;;;;
;GDP percent change based on current dollars;GDP percent change based on chained 2009 dollars;;;GDP percent change based on current dollars;GDP percent change based on chained 2009 dollars;;
;;;;;;;;
;;;;;;;;
;;;;1976q4;10.5;3.0;;
;;;;1977q1;11.6;4.7;;
;;;;1977q2;14.3;8.1;;
;;;;1977q3;12.6;7.3;;
;;;;1977q4;9.0;0.0;;
;;;;1978q1;7.6;1.4;;
;;;;1978q2;25.2;16.5;;
;;;;1978q3;11.1;4.0;;
;;;;1978q4;14.6;5.5;;
;;;;1979q1;8.2;0.8;;
;;;;1979q2;10.6;0.5;;
;;;;1979q3;12.0;2.9;;
;;;;1979q4;9.3;1.0;;
;;;;1980q1;10.0;1.3;;
;;;;1980q2;0.5;-7.9;;
;;;;1980q3;8.9;-0.6;;
;;;;1980q4;20.0;7.6;;
;;;;1981q1;19.8;8.5;;
;;;;1981q2;4.6;-2.9;;
;;;;1981q3;12.4;4.7;;
;;;;1981q4;2.8;-4.6;;
;;;;1982q1;-1.2;-6.5;;
;;;;1982q2;7.2;2.2;;
;;;;1982q3;4.4;-1.4;;
;;;;1982q4;4.9;0.4;;
;;;;1983q1;8.8;5.3;;
;;;;1983q2;12.4;9.4;;
;;;;1983q3;12.7;8.1;;
;;;;1983q4;11.7;8.5;;
;;;;1984q1;12.9;8.2;;
;;;;1984q2;10.9;7.2;;
;;;;1984q3;7.4;4.0;;
;;;;1984q4;6.0;3.2;;
;;;;1985q1;8.9;4.0;;
;;;;1985q2;6.3;3.7;;
;;;;1985q3;8.9;6.4;;
;;;;1985q4;5.4;3.0;;
;;;;1986q1;5.8;3.8;;
;;;;1986q2;3.5;1.9;;
;;;;1986q3;5.8;4.1;;
;;;;1986q4;4.4;2.1;;
;;;;1987q1;5.8;2.8;;
;;;;1987q2;7.4;4.6;;
;;;;1987q3;6.7;3.7;;
;;;;1987q4;10.4;6.8;;
;;;;1988q1;5.5;2.3;;
;;;;1988q2;9.5;5.4;;
;;;;1988q3;7.2;2.3;;
;;;;1988q4;8.8;5.4;;
;;;;1989q1;8.7;4.1;;
;;;;1989q2;7.5;3.2;;
;;;;1989q3;6.0;3.0;;
;;;;1989q4;3.7;0.9;;
;;;;1990q1;9.1;4.5;;
;;;;1990q2;5.8;1.6;;
;;;;1990q3;3.7;0.1;;
;;;;1990q4;-0.4;-3.4;;
;;;;1991q1;2.1;-1.9;;
;;;;1991q2;6.0;3.1;;
;;;;1991q3;5.0;1.9;;
;;;;1991q4;4.0;1.8;;
;;;;1992q1;6.6;4.8;;
;;;;1992q2;7.2;4.5;;
;;;;1992q3;5.9;3.9;;
;;;;1992q4;6.9;4.1;;
;;;;1993q1;3.1;0.8;;
;;;;1993q2;4.9;2.4;;
;;;;1993q3;4.4;2.0;;
;;;;1993q4;7.7;5.4;;
;;;;1994q1;6.0;4.0;;
;;;;1994q2;7.7;5.6;;
